TF	target	TF_EntrezID	TF_Ensembl_ID	target_EntrezID	Paper
BRD2	ARPC4	NA	NA	NA	NA
BRD2	RPL32	NA	NA	NA	NA
BRD2	RPL15	NA	NA	NA	NA
BRD2	ACAA1	NA	NA	NA	NA
BRD2	RPSA	NA	NA	NA	NA
BRD2	MAP4	NA	NA	NA	NA
BRD2	GPX1	NA	NA	NA	NA
BRD2	ABHD14B	NA	NA	NA	NA
BRD2	ACY1	NA	NA	NA	NA
BRD2	CHDH	NA	NA	NA	NA
BRD2	FLNB	NA	NA	NA	NA
BRD2	GBE1	NA	NA	NA	NA
BRD2	RPL24	NA	NA	NA	NA
BRD2	PDIA5	NA	NA	NA	NA
BRD2	ALDH1L1	NA	NA	NA	NA
BRD2	SEC61A1	NA	NA	NA	NA
BRD2	RAB7A	NA	NA	NA	NA
BRD2	PCCB	NA	NA	NA	NA
BRD2	PLOD2	NA	NA	NA	NA
BRD2	MCCC1	NA	NA	NA	NA
BRD2	EIF4G1	NA	NA	NA	NA
BRD2	OPA1	NA	NA	NA	NA
BRD2	BDH1	NA	NA	NA	NA
BRD2	SEC31A	NA	NA	NA	NA
BRD2	ADH5	NA	NA	NA	NA
BRD2	ANXA5	NA	NA	NA	NA
BRD2	ETFDH	NA	NA	NA	NA
BRD2	ACSL1	NA	NA	NA	NA
BRD2	HIBADH	NA	NA	NA	NA
BRD2	PPIA	NA	NA	NA	NA
BRD2	ASL	NA	NA	NA	NA
BRD2	MDH2	NA	NA	NA	NA
BRD2	HSPB1	NA	NA	NA	NA
BRD2	YWHAG	NA	NA	NA	NA
BRD2	ARPC1B	NA	NA	NA	NA
BRD2	NAMPT	NA	NA	NA	NA
BRD2	CALU	NA	NA	NA	NA
BRD2	CALD1	NA	NA	NA	NA
BRD2	GSTK1	NA	NA	NA	NA
BRD2	PDIA4	NA	NA	NA	NA
BRD2	TPT1	NA	NA	NA	NA
BRD2	FKBP1A	NA	NA	NA	NA
BRD2	PYGB	NA	NA	NA	NA
BRD2	CHMP4B	NA	NA	NA	NA
BRD2	AHCY	NA	NA	NA	NA
BRD2	ACSS2	NA	NA	NA	NA
BRD2	GSS	NA	NA	NA	NA
BRD2	RPN2	NA	NA	NA	NA
BRD2	SRSF6	NA	NA	NA	NA
BRD2	YWHAB	NA	NA	NA	NA
BRD2	CTSA	NA	NA	NA	NA
BRD2	TPD52L2	NA	NA	NA	NA
BRD2	UBA1	NA	NA	NA	NA
BRD2	NONO	NA	NA	NA	NA
BRD2	AIFM1	NA	NA	NA	NA
BRD2	SSR4	NA	NA	NA	NA
BRD2	FLNA	NA	NA	NA	NA
BRD2	RPL10	NA	NA	NA	NA
BRD2	LRRC47	NA	NA	NA	NA
BRD2	H6PD	NA	NA	NA	NA
BRD2	CAPZB	NA	NA	NA	NA
BRD2	DDOST	NA	NA	NA	NA
BRD2	HMGCL	NA	NA	NA	NA
BRD2	CLIC4	NA	NA	NA	NA
BRD2	SFN	NA	NA	NA	NA
BRD2	KHDRBS1	NA	NA	NA	NA
BRD2	AK2	NA	NA	NA	NA
BRD2	RPS8	NA	NA	NA	NA
BRD2	PRDX1	NA	NA	NA	NA
BRD2	AKR1A1	NA	NA	NA	NA
BRD2	SCP2	NA	NA	NA	NA
BRD2	CPT2	NA	NA	NA	NA
BRD2	PGM1	NA	NA	NA	NA
BRD2	CRYZ	NA	NA	NA	NA
BRD2	AGL	NA	NA	NA	NA
BRD2	CSDE1	NA	NA	NA	NA
BRD2	PHGDH	NA	NA	NA	NA
BRD2	FMO5	NA	NA	NA	NA
BRD2	PSMB4	NA	NA	NA	NA
BRD2	S100A10	NA	NA	NA	NA
BRD2	S100A11	NA	NA	NA	NA
BRD2	FDPS	NA	NA	NA	NA
BRD2	TAGLN2	NA	NA	NA	NA
BRD2	APOA2	NA	NA	NA	NA
BRD2	EPHX1	NA	NA	NA	NA
BRD2	HNRNPU	NA	NA	NA	NA
BRD2	PSME2	NA	NA	NA	NA
BRD2	SEC23A	NA	NA	NA	NA
BRD2	GMFB	NA	NA	NA	NA
BRD2	ALDH6A1	NA	NA	NA	NA
BRD2	DLST	NA	NA	NA	NA
BRD2	TMED10	NA	NA	NA	NA
BRD2	DYNC1H1	NA	NA	NA	NA
BRD2	HSP90AA1	NA	NA	NA	NA
BRD2	INF2	NA	NA	NA	NA
BRD2	PITRM1	NA	NA	NA	NA
BRD2	GDI2	NA	NA	NA	NA
BRD2	ECHDC3	NA	NA	NA	NA
BRD2	VIM	NA	NA	NA	NA
BRD2	SEC24C	NA	NA	NA	NA
BRD2	VCL	NA	NA	NA	NA
BRD2	VDAC2	NA	NA	NA	NA
BRD2	ANXA11	NA	NA	NA	NA
BRD2	PAPSS2	NA	NA	NA	NA
BRD2	PDLIM1	NA	NA	NA	NA
BRD2	PGAM1	NA	NA	NA	NA
BRD2	ACTR1A	NA	NA	NA	NA
BRD2	GSTO1	NA	NA	NA	NA
BRD2	EIF3A	NA	NA	NA	NA
BRD2	PRDX3	NA	NA	NA	NA
BRD2	ACADSB	NA	NA	NA	NA
BRD2	ECHS1	NA	NA	NA	NA
BRD2	RPL17	NA	NA	NA	NA
BRD2	ACAA2	NA	NA	NA	NA
BRD2	CMBL	NA	NA	NA	NA
BRD2	HMGCS1	NA	NA	NA	NA
BRD2	NNT	NA	NA	NA	NA
BRD2	HEXB	NA	NA	NA	NA
BRD2	BHMT	NA	NA	NA	NA
BRD2	RPS23	NA	NA	NA	NA
BRD2	GLRX	NA	NA	NA	NA
BRD2	CAST	NA	NA	NA	NA
BRD2	HSD17B4	NA	NA	NA	NA
BRD2	HINT1	NA	NA	NA	NA
BRD2	HNRNPA0	NA	NA	NA	NA
BRD2	CTNNA1	NA	NA	NA	NA
BRD2	ERGIC1	NA	NA	NA	NA
BRD2	RPS2	NA	NA	NA	NA
BRD2	GSPT1	NA	NA	NA	NA
BRD2	UQCRC2	NA	NA	NA	NA
BRD2	QPRT	NA	NA	NA	NA
BRD2	ALDOA	NA	NA	NA	NA
BRD2	CES2	NA	NA	NA	NA
BRD2	APRT	NA	NA	NA	NA
BRD2	RPL13	NA	NA	NA	NA
BRD2	GAMT	NA	NA	NA	NA
BRD2	DAZAP1	NA	NA	NA	NA
BRD2	RPS15	NA	NA	NA	NA
BRD2	REEP6	NA	NA	NA	NA
BRD2	EEF2	NA	NA	NA	NA
BRD2	MAP2K2	NA	NA	NA	NA
BRD2	KHSRP	NA	NA	NA	NA
BRD2	TUBB4A	NA	NA	NA	NA
BRD2	ELAVL1	NA	NA	NA	NA
BRD2	HNRNPM	NA	NA	NA	NA
BRD2	ICAM1	NA	NA	NA	NA
BRD2	CDC37	NA	NA	NA	NA
BRD2	CALR	NA	NA	NA	NA
BRD2	DNAJB1	NA	NA	NA	NA
BRD2	TPM4	NA	NA	NA	NA
BRD2	COPE	NA	NA	NA	NA
BRD2	PDCD5	NA	NA	NA	NA
BRD2	PEPD	NA	NA	NA	NA
BRD2	GPI	NA	NA	NA	NA
BRD2	LGALS4	NA	NA	NA	NA
BRD2	HNRNPL	NA	NA	NA	NA
BRD2	RPS16	NA	NA	NA	NA
BRD2	PSMC4	NA	NA	NA	NA
BRD2	APOE	NA	NA	NA	NA
BRD2	APOC2	NA	NA	NA	NA
BRD2	RPL18	NA	NA	NA	NA
